id,Tên sản phẩm,Giá
<built-in function id>,Son Mychi Lip Stick - son kem lỳ Mychi chính hãng,80000
<built-in function id>,Bảng Son Lì Ohui Rouge Real 10 màu,390000
<built-in function id>,Son môi thỏi lì cao cấp LOREN LIPSTICK trôi lâu mềm mịn môi có 10 màu lựa chọn,250000
<built-in function id>,[Freeship10k đơn 249k] Son kem lì nhiều dưỡng GLAMRR Q LONG WEAR LIP CREAM 5g by Gilaa,185000
<built-in function id>,Son lì dạng thỏi Flawsome Creamy Lip Stain (2g) Good Times (Màu Cam Hồng Đất),179000
<built-in function id>,"Son Kem Lì Mỏng Nhẹ Mềm Môi Belips Sexy Lipstick  100% thiên nhiên không chì, an toàn cho cả mẹ bầu",330000
<built-in function id>,Son Kem Lì Mỏng Nhẹ Mềm Môi Belips Sexy Lipstick 100% thiên nhiên,249000
<built-in function id>,Son Kem Lì it's Well plus Lip Velvet Semi Matte (8g) - LIP-V3 Presto,98000
<built-in function id>,Set son quà tặng Belips 5 thỏi Full Of Love ,2000000
<built-in function id>,SON KEM M.O.I PHIÊN BẢN MÙA LỄ HỘI HỒ NGỌC HÀ (2024),360050
<built-in function id>,Son kem lì Bbia Last Velvet Lip Tint Version 3 5g (5 màu),150000
<built-in function id>,Son kem lì Bbia Last Velvet Lip Tint - 25 Final Note 5g (màu cam nâu đất),150000
<built-in function id>,Son kem lì Bbia Last Velvet Lip Tint Version 8 5g (5 màu),150000
<built-in function id>,Son kem lì Bbia Last Velvet Lip Tint Version 1 5g (5 màu),150000
<built-in function id>,Son kem lì Bbia Last Velvet Lip Tint - 20 More Mature 5g (Màu hồng đỏ đất),150000
<built-in function id>,Son kem lì Bbia Last Velvet Lip Tint - 19 More Dazzling 5g (Màu đỏ ánh hồng cánh sen),150000
<built-in function id>,Son kem lì Bbia Last Velvet Lip Tint - 18 More Cheerful 5g (Màu hồng tươi),150000
<built-in function id>, Son Kem Lì Bbia Last Velvet Lip Tint - Dusk Edition (3 màu) 5g,150000
<built-in function id>,Son Kem Lì Bbia Last Velvet Lip Tint Version 5,150000
<built-in function id>,Set 3 Cây Son Kem Lì Herorange Fluffy Lip Glaze,45000
