id,name,short_url,price,discount,discount_rate,rating_average,review_count,brand_id,brand_name,short_description
102782859,Tai nghe In Ear Remax RM330 - Hàng chính hãng,https://tiki.vn/product-p102782859.html?spid=102782861,200000,50000,20,4.7,570,111454,Remax,"- Thiết kế độc đáo: Sỡ hữu thiết kế trẻ trung, độc đáo, đa phong cách, tai nghe in-ear RM-330 đang làm mưa làm gió trên thị trường tai nghe năm 2019. Khác với các loại tai nghe khác trên thị trường, R..."
273456496,"Tai nghe cho Iphone chân dẹt cao cấp Hoco. M111 Max/Pro hỗ trợ nghe gọi mic đầy đủ, cắm dùng trực tiếp không cần kết nối bluetooth - Hàng chính hãng",https://tiki.vn/product-p273456496.html?spid=273456500,199000,100000,33,4.3,27,21653,Hoco,"Thông tin sản phẩmTai nghe cho Iphone cao cấp âm thanh hay chính hãng M111 max, cắm dùng trực tiếp tương thích mọi đời máy, hỗ trợ mic nghe gọi chơi game full chức năng điều chỉnh âm lượng, qua bải ne..."
123518348,Tai nghe Remax RM-201 - Hàng chính hãng,https://tiki.vn/product-p123518348.html?spid=123518782,115000,35000,23,4.6,278,111454,Remax,"Muốn nghe nhạc HAY, CHỐNG ỒN cực đỉnh, giá cả phải chăng, chế độ bảo hành tốt thì chỉ có mua   ́ ̂  ------------------------- Thiết kế nhét nửa tai độc đáo Tích hợp bộ phím giúp bạn điều khiển ở..."
110850007,Tai nghe nhét tai có dây jack 3.5mm Remax RM-512 (New Package) - Hàng chính hãng,https://tiki.vn/product-p110850007.html?spid=110850010,115000,35000,23,4.7,1009,111454,Remax,"Thay đổi thói quen nghe nhạc không an toàn bằng chiếc #tai_nghe có dây Remax #RM_512 không chỉ mang đến những âm thanh sống động nhất, mà hơn thế còn đảm bảo an toàn cho bạn. Thiết kế hiện đại, cao c..."
155780905,Tai nghe có dây nhét tai âm bass sâu Remax RM-620 - Hàng chính hãng,https://tiki.vn/product-p155780905.html?spid=155780909,229000,71000,24,4.6,135,626205, Remax,"Tai nghe có dây nhét tai âm bass sâu Remax RM-620 rất được fan Remax yêu thích bởi chất âm đỉnh cao, trải nghiệm âm thanh cực đã với ngoại hình ấn tượng, độc đáo. Cùng iCybernet tìm hiểu xem những ưu ..."
13453545,Tai nghe Cooler Master MH710 Focus FX 2.0 - Hàng chính hãng,https://tiki.vn/product-p13453545.html?spid=31694986,699000,0,0,4.7,27,18991,Cooler Master,"Công nghệ Focus FX 2.0Dễ dàng chuyển đổi kiểu âm chỉ với 1 nút, có 2 lựa chọn Chơi game và Xem phim/nghe nhạcMút tai nghe nhiều kích thướcTương thích với nhiều kích cỡ tai, cực êm và ..."
186276424,"Tai nghe có dây Rockspace ES05 dành cho samsung có mic chuẩn 3,5 nhét tai - Hàng chính hãng",https://tiki.vn/product-p186276424.html?spid=186276425,79000,20000,20,4.7,15,146202,ROCK SPACE,"TẠI SAO NÊN MUA HÀNG CỦA SHOP:- Shop mall, bên mình là nhà phân phối chính thức của hãng Rockspace - Tai Nghe Có Dây Nhét Tai Rockspace  ES05 giống y hình và mô tả, nếu không giống shop sẽ hoàn 100 % ..."
135284213,Tai nghe có dây nhét tai Rockspace ES07 chuẩn cắm 3.5 có mic chơi game nghe nhạc - Hàng chính hãng bảo hành 1 năm,https://tiki.vn/product-p135284213.html?spid=135284229,49000,26000,35,5.0,12,146202,ROCK SPACE,"TẠI SAO NÊN MUA HÀNG CỦA SHOP:- Shop mall, bên mình là nhà phân phối chính thức của hãng Rockspace- Tai nghe có dây Rockspace ES07 giống y hình và mô tả, nếu không giống shop sẽ hoàn 100 % tiền và c..."
135284238,"Tai nghe có dây, nhét tai, có mic Rockspace Obsidian - Hàng chính hãng ",https://tiki.vn/product-p135284238.html?spid=135284250,289000,100000,26,4.8,8,146202,ROCK SPACE,"TẠI SAO NÊN MUA HÀNG CỦA SHOP:- Shop mall, bên mình là nhà phân phối chính thức của hãng Rockspace- Tai nghe có dây Obsidian giống y hình và mô tả, nếu không giống shop sẽ hoàn 100 % tiền và chịu ph..."
271962932,Tai Nghe Nhét Tai M101 Max - Hàng nhập khẩu,https://tiki.vn/product-p271962932.html?spid=271962935,50000,0,0,4.5,8,21653,Hoco,Ưu điểm:Chất lượng âm thanh stereo với âm bass mạnh mẽDây cáp được làm bằng chất liệu kim loại rất chắc chắnTương thích với các sản phẩm iOS & AndroidĐầu tai nghe được thiết kế mềm mại tạo cảm...
