,Son lì dạng thỏi Flawsome Creamy Lip Stain (2g),Son Mychi Lip Stick - son kem lỳ Mychi chính hãng,Bảng Son Lì Ohui Rouge Real 10 màu,Son môi thỏi lì cao cấp LOREN LIPSTICK trôi lâu mềm mịn môi có 10 màu lựa chọn,Son lì dạng thỏi Flawsome Creamy Lip Stain (2g),[Freeship10k đơn 249k] Son kem lì nhiều dưỡng GLAMRR Q LONG WEAR LIP CREAM 5g by Gilaa,"Son Kem Lì Mỏng Nhẹ Mềm Môi Belips Sexy Lipstick  100% thiên nhiên không chì, an toàn cho cả mẹ bầu ",Son Kem Lì Mỏng Nhẹ Mềm Môi Belips Sexy Lipstick 100% thiên nhiên,Son Kem Lì it's Well plus Lip Velvet Semi Matte (8g),Set son quà tặng Belips 5 thỏi Full Of Love ,SON KEM M.O.I PHIÊN BẢN MÙA LỄ HỘI HỒ NGỌC HÀ (2024),Son kem lì Bbia Last Velvet Lip Tint - 20 More Mature 5g (Màu hồng đỏ đất),Son kem lì Bbia Last Velvet Lip Tint - 25 Final Note 5g (màu cam nâu đất),Son kem lì Bbia Last Velvet Lip Tint Version 3 5g (5 màu),Son kem lì Bbia Last Velvet Lip Tint Version 1 5g (5 màu),Son kem lì Bbia Last Velvet Lip Tint Version 8 5g (5 màu),Son Kem Lì Bbia Last Velvet Lip Tint Version 5,Set 3 Cây Son Kem Lì Herorange Fluffy Lip Glaze,Son Môi M.O.I Nhung Lì Sgirl SUMMER EDITION Hồ Ngọc Hà (2021),Son Kem Hojo Smooth Lip Glair,Set son 2 tầng HengFang (5 sáp & 5 kem),Set Son Kem Lì 4 Cây Daishiao Matte(Tặng 1 hộp phấn mắt xinh xắn tiện lợi),Set 5 Cây Son Kem Lì VONGEE Mịn Mượt Như Nhung Và Không Khô Môi,"Son Kem Siêu Lì, Mịn Môi 3CE Cloud Lip Tint",Bảng Son Lì Ohui Rouge Real 10 màu,Son kem lì Bbia Last Velvet Lip Tint - 24 Trendy Note 5g (màu hồng đất ánh cam nhẹ),Son Lì Herorange Mềm Mịn Chống Thấm Nước Khô Môi Lâu Trôi,Son kem lì Bbia Last Velvet Lip Tint - 19 More Dazzling 5g (Màu đỏ ánh hồng cánh sen),Son Kem Lì Bbia Last Velvet Lip Tint - 16 More Graceful 5g (Màu hồng đào sữa),Son kem lì Bbia Last Velvet Lip Tint - 17 More Pleasant 5g (Màu cam san hô),Set Son Quà Tặng BELIPS Son Kem Lì FULL OF LOVE (Phiên Bản Giới Hạn),Son Kem Lì Bbia Last Velvet Lip Tint ASIA EDITION Version 2 (6 Màu) 5g Bbia Official Store,Son Kem FOX Hydrating Lip Polish 7ml,Son kem lì Bbia Last Velvet Lip Tint - 18 More Cheerful 5g (Màu hồng tươi),Set son quà tặng  Belips hộp hoa hồng ,Son Kem Bóng Maybelline Super Stay Vinyl Ink 4.2ml,Son môi Belips son kem lì City At Night mỏng nhẹ mềm môi Soft Matte Lipstick ,Set 5 Son Kem Lì Thỏ LEADUU lâu trôi mềm mịn,Son kem nhung lì Whoo GJH Mi Velvet Liquid Lip Rouge minisize,Son kem lì Aprilskin Mood Blurring Lip Tint 4g,Son xăm lì siêu mịn không trôi Mira Aroma Tattoo Liptint Hàn Quốc 6g tặng kèm móc khoá ,Son Kem Mac Powder Kiss Liquid Lipcolour 989 Mull It Over 5ml,Son kem Bbia Smudge Tint (6 màu) 3g ,Son Kem Nhung Lì Mượt Lâu Trôi V9Queen Siêu Mịn Không Khô Môi Màu Đỏ Hồng V9 Hera 5ml,Son lì dạng thỏi Flawsome Creamy Lip Stain (2g),Son Mychi Lip Stick - son kem lỳ Mychi chính hãng,Son môi thỏi lì cao cấp LOREN LIPSTICK trôi lâu mềm mịn môi có 10 màu lựa chọn,Son xăm lì siêu mịn không trôi Mira Aroma Tattoo Liptint Hàn Quốc 6g No.2 Sweet Tomato tặng kèm móc khoá,Son xăm lì siêu mịn không trôi Mira Aroma Tattoo Liptint Hàn Quốc 6g No.1 Real Red tặng kèm móc khoá,"Son kem lì mềm, lâu trôi MAC Locked Kiss Ink",Son Kem Lì Mịn Môi GRLBOSS Demi Matte Lip Cream Australis Úc,Son Kem Black Rouge Muddish Cushion Velvet 4g, Son PK Phấn Nụ Hoàng Cung màu đỏ cherry/ hồng ruby/cam đất, Son Kem Lì Bbia Last Velvet Lip Tint - Dusk Edition (3 màu) 5g,Son Kem Lì Bbia Last Velvet Lip Tint Version 8 - #39 Feign Longing (Màu Đỏ Ớt) 5g - Bbia Official Store,Son kem lì Belips City At Night mỏng mịn mềm môi Soft Matte Lipstick,Son kem nhung lì Whoo GJH Mi Velvet Liquid Lip Rouge 6g,Son lì Belips mềm môi City At Night màu C05 Swettie Baby,Son kem lì Belips City At Night màu C01 Muse Orange,Son kem lì Belips City At Night màu C04 Hot Cherry,Son Nước LIPGLOSS PK - Phấn Nụ Hoàng Cung,Son kem lì Belips City At Night màu C02 Sexy Red,SON KEM LÌ VACOSI MATTE INK MỊN MÔI PHIÊN BẢN UNIVERSE,Set Son Belips Bộ Quà Tặng Bạn Gái Sang Trọng Quyến Rũ Đẳng Cấp Phiên Bản Vỏ Đen Truyền Thống,Sét son Belips 3 son kem lì bộ quà tặng bạn gái sang trọng,Son kem lì Belips City At Night màu C03 Night Party,Son lì Belips mướt mềm môi City At Night màu C01 Muse Orange,Son kem lì Belips City At Night màu C05 Swettie Baby,Son Kem Bóng Baby Bright Sweet Cafe Shiny Tint 2.8g,Son lì Belips mềm môi City At Night màu C02 Sexy Red,Bộ đôi son kem lì mỏng mịn mềm môi City At Night C01 Muse Orange + C02 Sexy Red,Hộp quà tặng son kem Belips hộp hoa hồng 1 son ,(TẶNG 1 SON) Son môi kem lì HA:PY Matte Lip Cream phiên bản nâng cấp HAPY Roses MiniGarden son lì lâu trôi kháng nước,Son kem lì HA:PY Matte Lip Cream bám màu lâu trôi 3.5ml - Phiên bản son Roses mẫu mới,Son kem hữu cơ dưỡng ẩm - naturaglacé LIQUID ROUGE ,Son Kem Lì Mịn Môi PEKAH WINSOME COTTON TINT  Son kem lì Hàn Quốc 4.5g,Son xăm lì siêu mịn không trôi Mira Aroma Tattoo Liptint Hàn Quốc 6g tặng kèm móc khoá ,Son Bourjois Rouge Edition Velvet Lipstick,"son kem belly Bám màu được 8- 12h Có thành phần kháng nước của Mỹ, không trôi khi rửa nước Không gây thâm môi Không chất cấm",Son kem lì Kelly Queen matte lipstick M04,SON KEM GẤC DỀN MẸ KEN MÀU ĐỎ CAM,SON KEM NHUNG SIÊU LÌ LALIHUI,Son Absolute NewYork Velvet Lippie AVL21 - Fatale (3g),Son kem lì FOCALLURE velvet smooth 2.4g,Son Absolute NewYork Velvet Lippie AVL08 - Crush (3g),Son Absolute NewYork Velvet Lippie AVL16 - Maneeter (3g),Son Bellapierre Kiss Proof Lip Crème - Fullsize Tách set màu Minami Glam (Bill Anh)
Son lì dạng thỏi Flawsome Creamy Lip Stain (2g),1.0,0.045888604027254476,0.10156731183397633,0.11952107390445818,1.0,0.061458967026287475,0.1862793495298338,0.13182509934845077,0.08979419193343229,0.032671346981455254,0.0631786146726247,0.10684816509820208,0.12221960062963362,0.13328534662025204,0.13328534662025204,0.14674869378435934,0.12078360863917989,0.10072760516459385,0.021859491590786432,0.1174659751037782,0.10713966865130845,0.12117549609164835,0.12117549609164835,0.010149892611920303,0.10156731183397633,0.12221960062963362,0.09615139445363768,0.10684816509820208,0.10684816509820208,0.10684816509820208,0.03237124818167546,0.03923883630344957,0.1361493754983238,0.10684816509820208,0.014747233250520105,0.04412337781717665,0.02261125336007524,0.12117549609164835,0.152202690510233,0.13763531129666418,0.16998732808295952,0.023704848173395875,0.07701253831647187,0.08110425144265605,1.0,0.045888604027254476,0.11952107390445818,0.16998732808295952,0.16998732808295952,0.05821896737600982,0.1435771218734309,0.037476936642919824,0.040194073541369835,0.0,0.08515808814732147,0.022162310212660144,0.15016747980357598,0.1003907543819513,0.02127908849167493,0.017507197022077703,0.036007091262817925,0.01242981493125338,0.04552239728140456,0.013191343376424103,0.09576249338198825,0.0346900579522211,0.02254141647498442,0.10212756919357426,0.10402351290732252,0.10146310725905391,0.10611528991096306,0.012492727080991865,0.08516487928637907,0.07894952082243079,0.017378759397402254,0.0790941287200095,0.16998732808295952,0.02819895230324851,0.030184148807915676,0.06493937540944833,0.0029404301769524934,0.020936802980391286,0.05838051175338902,0.08293356009824673,0.05838051175338902,0.05946549145675052,0.08091067043116776
Son Mychi Lip Stick - son kem lỳ Mychi chính hãng,0.045888604027254476,1.0,0.1122054511660544,0.06253545126033713,0.045888604027254476,0.01477260130236701,0.08935500076528256,0.16790460080082034,0.048456749030540244,0.037631614717319795,0.014172093945347661,0.05776111582279643,0.04792017583980543,0.05468150025198801,0.05468150025198801,0.06251155185127746,0.04735714840122279,0.11987530671772864,0.01408107606504545,0.2275739895034936,0.10271146725732921,0.0691089919766809,0.0691089919766809,0.008697616648461144,0.1122054511660544,0.04792017583980543,0.1085351662468929,0.05776111582279643,0.05776111582279643,0.05776111582279643,0.037285953963973634,0.02607383877487556,0.07372001815554956,0.05776111582279643,0.009477867378209354,0.034543287851921685,0.003780956823780071,0.0691089919766809,0.027432708254821837,0.04964169110071918,0.09206618483832692,0.008738393225523878,0.028835436556103898,0.07099279393085961,0.045888604027254476,1.0,0.06253545126033713,0.09206618483832692,0.09206618483832692,0.04026131219377891,0.045066523922064845,0.03928480795548431,0.04840824022798468,0.0,0.02409902586328845,0.0037058864758574045,0.02706588595118419,0.061051339390060286,0.23914093735929468,0.06700660057349478,0.06455226003422454,0.06947579855966769,0.010164426148396355,0.014216967231698198,0.06345029931876273,0.032254123971369626,0.003769278999334394,0.06691866772886244,0.0372056869624586,0.06648328179178639,0.07412200891105102,0.004605233532580741,0.03856450958515926,0.04464681560424986,0.06288773613151986,0.0447886725213607,0.09206618483832692,0.06548339282004101,0.04330768387425375,0.06738014158636257,0.019749936975808156,0.06388773033087261,0.0684853262506403,0.03826196026018164,0.06848532625064029,0.0697581001049346,0.026777727347710552
Bảng Son Lì Ohui Rouge Real 10 màu,0.10156731183397633,0.1122054511660544,1.0,0.12033403224615974,0.10156731183397633,0.03919457829841491,0.1256017121038704,0.08560596782251619,0.04868834351439756,0.05004399167361069,0.025396248390392513,0.0956871986587018,0.055149404208304095,0.06283161613572796,0.06283161613572796,0.07173851858728997,0.054501438560294775,0.06685223074210858,0.019550195349965556,0.10501452608176375,0.1309932770405638,0.14828680414348291,0.14828680414348291,0.019132851084906713,1.0,0.055149404208304095,0.0783611985201854,0.0956871986587018,0.0956871986587018,0.0956871986587018,0.04958431849741855,0.05046241116612064,0.05861890580625469,0.0956871986587018,0.03211378006013412,0.013908299253363288,0.03625893372641893,0.14828680414348291,0.05507301827192248,0.06100915709631276,0.1134270598015682,0.009917248944662877,0.051840328100178384,0.08324408361502217,0.10156731183397633,0.1122054511660544,0.12033403224615974,0.1134270598015682,0.1134270598015682,0.08805279066742142,0.09855719446296178,0.12368186640035768,0.015073416316768305,0.0,0.030961497137551516,0.03553901786992792,0.10226437467133946,0.08361029289151936,0.11993952775875723,0.020531718766799753,0.16873726682453158,0.03325469239374235,0.0198197453123985,0.04470430216186993,0.057901674342270656,0.04211393923243132,0.03614694475580138,0.08989615961248147,0.07902199568475221,0.08931127762034438,0.09802365062960536,0.02598124575148343,0.06124875371504744,0.0549430654117596,0.11348529798672866,0.03238691709560564,0.1134270598015682,0.08684337329981208,0.03409723765780767,0.09436447770465656,0.0028596265263295412,0.0660584979956996,0.06288238605924425,0.04044496576518419,0.06288238605924425,0.06405103139180698,0.06043263705414356
Son môi thỏi lì cao cấp LOREN LIPSTICK trôi lâu mềm mịn môi có 10 màu lựa chọn,0.11952107390445818,0.06253545126033713,0.12033403224615974,1.0000000000000002,0.11952107390445818,0.022737120158202135,0.14644453739948096,0.13134721054656895,0.08922798983308615,0.11158262103770991,0.022223448120611805,0.14745194910240683,0.060238640818937754,0.06921446778888588,0.06921446778888588,0.0795590546826979,0.05953088031828005,0.11481405674432454,0.028804871989011643,0.07671033511849797,0.1406902652244489,0.1672713017716751,0.1672713017716751,0.036217841338868406,0.12033403224615974,0.060238640818937754,0.08496724184665563,0.14745194910240683,0.14745194910240683,0.14745194910240683,0.11055769204813662,0.07479595475571912,0.08867498985544517,0.14745194910240683,0.03252618416016572,0.048698566396499894,0.08071553203538911,0.1672713017716751,0.07133355838883361,0.088814397757206,0.13972849961962838,0.01743115911533886,0.0961546931960576,0.06536274346200566,0.11952107390445818,0.06253545126033713,1.0000000000000002,0.13972849961962838,0.13972849961962838,0.08840601152509836,0.08656635339168603,0.0819320936301701,0.05084715080911385,0.0,0.060550072764460575,0.07911293688419618,0.070379706513481,0.11321314421743768,0.09123097853178663,0.05433732830826797,0.08087556996722342,0.09592538090899407,0.04423348929881656,0.10024344666780192,0.11575223332510871,0.10377483829294341,0.08046623487144891,0.11523785914487182,0.054625200438587644,0.11448809910042927,0.11980052545730593,0.009186420935514309,0.0769056412901663,0.07307869739812388,0.10017184260411757,0.02832077203200888,0.13972849961962838,0.08924411408091348,0.0611941896978085,0.1282748556541746,0.022980720782816134,0.030478469533252027,0.09450789525888914,0.047037604394281576,0.09450789525888914,0.09626428870395612,0.03684245722220278
Son lì dạng thỏi Flawsome Creamy Lip Stain (2g),1.0,0.045888604027254476,0.10156731183397633,0.11952107390445818,1.0,0.061458967026287475,0.1862793495298338,0.13182509934845077,0.08979419193343229,0.032671346981455254,0.0631786146726247,0.10684816509820208,0.12221960062963362,0.13328534662025204,0.13328534662025204,0.14674869378435934,0.12078360863917989,0.10072760516459385,0.021859491590786432,0.1174659751037782,0.10713966865130845,0.12117549609164835,0.12117549609164835,0.010149892611920303,0.10156731183397633,0.12221960062963362,0.09615139445363768,0.10684816509820208,0.10684816509820208,0.10684816509820208,0.03237124818167546,0.03923883630344957,0.1361493754983238,0.10684816509820208,0.014747233250520105,0.04412337781717665,0.02261125336007524,0.12117549609164835,0.152202690510233,0.13763531129666418,0.16998732808295952,0.023704848173395875,0.07701253831647187,0.08110425144265605,1.0,0.045888604027254476,0.11952107390445818,0.16998732808295952,0.16998732808295952,0.05821896737600982,0.1435771218734309,0.037476936642919824,0.040194073541369835,0.0,0.08515808814732147,0.022162310212660144,0.15016747980357598,0.1003907543819513,0.02127908849167493,0.017507197022077703,0.036007091262817925,0.01242981493125338,0.04552239728140456,0.013191343376424103,0.09576249338198825,0.0346900579522211,0.02254141647498442,0.10212756919357426,0.10402351290732252,0.10146310725905391,0.10611528991096306,0.012492727080991865,0.08516487928637907,0.07894952082243079,0.017378759397402254,0.0790941287200095,0.16998732808295952,0.02819895230324851,0.030184148807915676,0.06493937540944833,0.0029404301769524934,0.020936802980391286,0.05838051175338902,0.08293356009824673,0.05838051175338902,0.05946549145675052,0.08091067043116776
[Freeship10k đơn 249k] Son kem lì nhiều dưỡng GLAMRR Q LONG WEAR LIP CREAM 5g by Gilaa,0.061458967026287475,0.01477260130236701,0.03919457829841491,0.022737120158202135,0.061458967026287475,1.0,0.07806651148457813,0.03433002071816088,0.05149376549337018,0.020717243970384415,0.021492525502713772,0.028320269984361546,0.03599943811408735,0.038531634524065383,0.038531634524065383,0.04173141567344004,0.03557647072975334,0.04505407275049963,0.0421060060298393,0.03778751958171368,0.0423870970926069,0.0552973143509474,0.0552973143509474,0.05518934336061055,0.03919457829841491,0.03599943811408735,0.053161345295062036,0.028320269984361546,0.028320269984361546,0.028320269984361546,0.020526948172240968,0.011104657547018736,0.04198408707922761,0.028320269984361546,0.0309454420999957,0.007551696379391952,0.0,0.0552973143509474,0.034333253086643686,0.02624423335817599,0.06519280468257563,0.0074160356538335095,0.006802964017186998,0.026799730711934776,0.061458967026287475,0.01477260130236701,0.022737120158202135,0.06519280468257563,0.06519280468257563,0.03149295526555908,0.07444345559635916,0.005750402623487123,0.09637487377413394,0.0,0.02084245157614247,0.0,0.03387415867745777,0.022718717715800564,0.0034392342369101245,0.021647704162093998,0.09522354791282862,0.0015905347066565796,0.11086961445154535,0.03162438992520679,0.011795765562455818,0.030699768177294688,0.0,0.025944374058258356,0.047792763256783485,0.025775574887644648,0.029660078058201467,0.05776672931663305,0.0872777540459523,0.037784070414387576,0.011190850643119584,0.10430288851531601,0.06519280468257563,0.05802533036410381,0.010087411049568626,0.038498202069242454,0.0,0.00866447447527633,0.017096483250075366,0.09274304889639781,0.017096483250075366,0.017414214917169133,0.05754601881797484
"Son Kem Lì Mỏng Nhẹ Mềm Môi Belips Sexy Lipstick  100% thiên nhiên không chì, an toàn cho cả mẹ bầu ",0.1862793495298338,0.08935500076528256,0.1256017121038704,0.14644453739948096,0.1862793495298338,0.07806651148457813,1.0,0.41701502414444647,0.10422803200451443,0.06652973716235294,0.049824693676109755,0.07601578663509467,0.08635617044225266,0.10000552833467755,0.10000552833467755,0.11565862412395636,0.08534154784127465,0.08922018629675281,0.008105741182469654,0.08160972073820777,0.18526007226176971,0.15509389151041952,0.15509389151041952,0.020613238890471224,0.1256017121038704,0.08635617044225266,0.15855691638694264,0.07601578663509467,0.07601578663509467,0.07601578663509467,0.06591863611765403,0.034856956793995954,0.14123757091006353,0.07601578663509467,0.03586238386066034,0.05135444709964046,0.06966795622729047,0.15509389151041952,0.1243965384927679,0.08182651043939454,0.12029916679730267,0.04428528760833579,0.11488010923528796,0.15020756645800015,0.1862793495298338,0.08935500076528256,0.14644453739948096,0.12029916679730267,0.12029916679730267,0.0772279022495694,0.14505421755619682,0.034338863232570564,0.0739390658192103,0.0,0.1299466604431737,0.05146738282526449,0.12273314367259201,0.3052620400526184,0.03941952053084983,0.04444838116339424,0.027361611420038276,0.06805658742693517,0.04872111821744008,0.046880699856456015,0.08867280921073765,0.047171494930875316,0.052347778729268796,0.33139765119544157,0.09121819544807144,0.30443677707575,0.314471402445025,0.03941978110071193,0.1457796249566783,0.1274323589456935,0.014248125172941628,0.027753258169042824,0.12029916679730267,0.04517475987832427,0.11405692479113777,0.10035677567221024,0.01738361450473254,0.06491017677050936,0.06807411855850673,0.10460289133893828,0.06807411855850673,0.06933925027355917,0.0335883208463871
Son Kem Lì Mỏng Nhẹ Mềm Môi Belips Sexy Lipstick 100% thiên nhiên,0.13182509934845077,0.16790460080082034,0.08560596782251619,0.13134721054656895,0.13182509934845077,0.03433002071816088,0.41701502414444647,1.0,0.09121309564473405,0.06998443556703307,0.062426183868973355,0.057532458261685626,0.06147770770568147,0.06978110791147427,0.06978110791147427,0.0794359032384279,0.06075538906446501,0.09415504169026667,0.008109152623219028,0.04541860581813023,0.17747708572757756,0.14314683433883507,0.14314683433883507,0.028322001586234016,0.08560596782251619,0.06147770770568147,0.09575181248958413,0.057532458261685626,0.057532458261685626,0.057532458261685626,0.06934160179807783,0.024357416396542195,0.1071378595619714,0.057532458261685626,0.04470314417871055,0.058647281565219186,0.024819826534117947,0.14314683433883507,0.09788270659473942,0.13313759429445782,0.18768536342679923,0.026582355500504386,0.05285603598818107,0.05292952684285143,0.13182509934845077,0.16790460080082034,0.13134721054656895,0.18768536342679923,0.18768536342679923,0.07878164729542081,0.1365198486865607,0.020611989200665655,0.2699197749306827,0.0,0.07880726479986809,0.0243270324874952,0.0965738471272073,0.19358496517939136,0.02038556424796794,0.02158159648146687,0.07541307909142475,0.08792386841744941,0.03455018644851701,0.069603120766616,0.12067005443538925,0.012325206154125721,0.0247431682725862,0.1976655382764793,0.07459221559804319,0.19637948763424534,0.20608157251640696,0.04618459475511195,0.13348461762392644,0.11597518173448332,0.08062898413653499,0.09647779243363566,0.18768536342679923,0.0571734174965043,0.07709295011793978,0.06828325208717005,0.0,0.05668056411211287,0.04639695744860165,0.10087250963120696,0.04639695744860165,0.04725922733314985,0.02171197761395159
Son Kem Lì it's Well plus Lip Velvet Semi Matte (8g),0.08979419193343229,0.048456749030540244,0.04868834351439756,0.08922798983308615,0.08979419193343229,0.05149376549337018,0.10422803200451443,0.09121309564473405,1.0,0.03223967292987116,0.029853231699922034,0.11069968646446658,0.07875554381237942,0.08462401458667528,0.08462401458667528,0.09197041636563827,0.07783022308202364,0.06460754567973376,0.008936537176799675,0.1000897110307541,0.08919922464886071,0.23978255042741048,0.23978255042741048,0.04892025315454048,0.04868834351439756,0.07875554381237942,0.10201880050830116,0.11069968646446658,0.11069968646446658,0.11069968646446658,0.031943539221118984,0.07846751392825133,0.10459920894806897,0.11069968646446658,0.016867412555892504,0.03472126718569586,0.01979884879211207,0.23978255042741048,0.11736681483391091,0.07692749462684247,0.10923991418525815,0.065512601192782,0.04558734142832768,0.1412574381705709,0.08979419193343229,0.048456749030540244,0.08922798983308615,0.10923991418525815,0.10923991418525815,0.052209392682066105,0.07181791440385986,0.04726309645375141,0.0833854222935256,0.0,0.03745838361318697,0.01940574552842387,0.1157974194614937,0.18999086102748447,0.1476223246420724,0.06278942206695515,0.07681328987195725,0.08500406221276934,0.05903650027314879,0.006778074251900171,0.05354745838139592,0.0705777424140079,0.01973769827090891,0.18951463564455912,0.05672797254522788,0.1882816163686218,0.19332397213859928,0.006419106026382659,0.0810127485049641,0.07984511336424173,0.05739944844271859,0.040004804716174784,0.10923991418525815,0.032958613503599896,0.11350914590418984,0.0817460429246601,0.0060434948899995,0.07307500214779326,0.09459354395508804,0.09486942782745506,0.09459354395508804,0.09635152914874037,0.031707437560277205
Set son quà tặng Belips 5 thỏi Full Of Love ,0.032671346981455254,0.037631614717319795,0.05004399167361069,0.11158262103770991,0.032671346981455254,0.020717243970384415,0.06652973716235294,0.06998443556703307,0.03223967292987116,1.0,0.06580537717797602,0.0651790058412147,0.02766593568015519,0.032674388990340655,0.032674388990340655,0.03835853796438406,0.027340880927558674,0.06428214858136146,0.0,0.07928195906309042,0.116531017447096,0.04442755687403231,0.04442755687403231,0.06692148296492532,0.05004399167361069,0.02766593568015519,0.015585242745166893,0.0651790058412147,0.0651790058412147,0.0651790058412147,0.9370406579995512,0.03291551281827067,0.04585717453251518,0.0651790058412147,0.32025311998158645,0.02588391802969331,0.008565837938584245,0.04442755687403231,0.011147489239437054,0.01451678841158651,0.048140981721137906,0.011504934140116493,0.01184450021854689,0.013374011121520375,0.032671346981455254,0.037631614717319795,0.11158262103770991,0.048140981721137906,0.048140981721137906,0.025117995877443303,0.03705103428936212,0.010011907303721024,0.00693399176323025,0.0,0.012178277738239499,0.008395764471927778,0.010998428211827158,0.035559234443019824,0.048341701878118044,0.09648783644017123,0.08530452230575006,0.036959519285090475,0.053997282395041236,0.3888464912382568,0.35273311011627917,0.06016303601744925,0.008539381579429923,0.03463319843762643,0.011615040748666114,0.034407868076645504,0.03451497421345281,0.29173048540073304,0.08926002587389616,0.09101024615035891,0.05332856777723677,0.025912935756078677,0.048140981721137906,0.07217896353727975,0.01825053530884597,0.04956569274643243,0.0,0.04095662889353555,0.09319580055055843,0.033662692279313906,0.09319580055055843,0.09492780921233611,0.010415048579173088
